plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
AETNA,aetna.com,1259546,Aetna,CVS Health,Carrier,name,Aetna,Carrier
UNITED HEALTHCARE,uhc.com,1106594,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
UNITEDHEALTHCARE,uhc.com,459257,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBSTX,bcbstx.com,388673,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
CIGNA,cigna.com,303785,Cigna,Cigna,Carrier,name,Cigna,Carrier
BLUE CROSS AND BLUE SHIELD OF TEXAS,bcbstx.com,289164,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
CIGNA,multiplan.com,276705,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BCBS OF TEXAS,bcbstx.com,256150,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
UMR,clearhs.com,221713,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
CIGNA HEALTHCARE,multiplan.com,159362,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUECROSS BLUESHIELD OF TEXAS,bcbstx.com,141922,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
UMR,clearhealthcloud.com,133877,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
ANTHEM BLUE CROSS BLUE SHIELD,anthem.com,110876,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
FLORIDA BLUE,bcbsfl.com,94403,Florida Blue,GuideWell,Blues licensee,domain,Blues plan,Blues licensee
AETNA HEALTH PLANS,aetna.com,92796,Aetna,CVS Health,Carrier,name,Aetna,Carrier
BLUE CROSS BLUE SHIELD OF TEXAS,bcbstx.com,72873,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
AMBETTER,centene.com,68108,Centene,Centene,Carrier,name,Centene,Carrier
BCBS OF TX,bcbstx.com,65913,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS,anthem.com,63770,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
UNITED HEALTHCARE INSURANCE COMPANY,uhc.com,61124,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
UHC,uhc.com,60213,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BLUECROSS BLUESHIELD,bcbstx.com,58011,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
"UMR, INC.",clearhs.com,54272,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
CIGNA HEALTHCARE,cigna.com,54115,Cigna,Cigna,Carrier,name,Cigna,Carrier
BLUECROSS BLUESHIELD OF TENNESSEE,bcbst.com,54103,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS,bcbstx.com,52851,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
ANTHEM VIRGINIA,anthem.com,50147,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUE CROSS AND BLUE SHIELD OF ARIZONA,azblue.com,47820,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS BLUE SHIELD OF ARIZONA,azblue.com,43871,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS BLUE SHIELD,bcbstx.com,38763,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
CIGNA HEALTH AND LIFE INSURANCE COMPANY,multiplan.com,38179,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUECROSS BLUESHIELD OF NEW MEXICO,bcbsnm.com,37772,BCBS New Mexico,HCSC,Blues licensee,name,Blues plan,Blues licensee
AMBETTER PEACH STATE,centene.com,36334,Centene,Centene,Carrier,name,Centene,Carrier
BCBS OF TX,bcbsil.com,36274,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
BCBS TX,bcbstx.com,34930,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
CIGNA,zelis.com,33374,Cigna,Cigna,Carrier,name,Zelis,Repricing vendor
UNITEDHEALTHCARE UHC,uhc.com,32853,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBSOK,bcbsil.com,28723,BCBS Oklahoma,HCSC,Blues licensee,name,Blues plan,Blues licensee
BCBS FL,bcbsfl.com,28703,Florida Blue,GuideWell,Blues licensee,name,Blues plan,Blues licensee
"RMHMS, INC NV DBA ANTHEM BCBS",anthem.com,28193,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
KAISER PERMANENTE,multiplan.com,28160,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
UNITED HEALTH CARE,uhc.com,27816,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBSAZ,azblue.com,26864,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
"UNITED HEALTHCARE SERVICES, INC.",uhc.com,26311,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
ARKANSAS BLUE CROSS AND BLUE SHIELD,multiplan.com,24268,BCBS Kansas,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
MULTIPLAN ON BEHALF OF CIGNA,multiplan.com,23572,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
MERITAIN HEALTH,clearhs.com,23421,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
CIGNA HEALTH PLANS,multiplan.com,21658,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
HORIZON,multiplan.com,21240,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
CIGNA HEALTH AND LIFE INSURANCE COMPANY,cigna.com,20246,Cigna,Cigna,Carrier,name,Cigna,Carrier
KAISER,multiplan.com,19817,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
CIGNA HEALTH AND LIFE INSURANCE,cigna.com,19264,Cigna,Cigna,Carrier,name,Cigna,Carrier
OSCAR,hioscar.com,18333,Oscar Health,Oscar,Carrier,name,Oscar Health,Carrier
ANTHEM,anthem.com,17821,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
ANTHEM INC.,anthem.com,17741,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUE CROSS AND BLUE SHIELD OF TEXAS,bcbsil.com,14704,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
BCBS OF AZ,azblue.com,14666,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS ARKANSAS,multiplan.com,13574,BCBS Kansas,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BLUECROSS BLUESHIELD OF OKLAHOMA,bcbsok.com,12761,BCBS Oklahoma,HCSC,Blues licensee,name,Blues plan,Blues licensee
UNITED,uhc.com,12708,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
MERITAIN HEALTH,clearhealthcloud.com,12705,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
BLUE CROSS BLUE SHIELD NORTH CAROLINA,bcbsnc.com,12375,BCBS North Carolina,Independent,Blues licensee,name,Blues plan,Blues licensee
HORIZON BCBS,multiplan.com,12289,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BLUECROSS BLUESHIELD OF TENNESSEE,multiplan.com,11883,BCBS Tennessee,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BCBSLA,lablue.com,11442,BCBS Louisiana,Elevance,Blues licensee,name,Blues plan,Blues licensee
"ANTHEM INSURANCE COMPANIES, INC. DBA BCBS",anthem.com,10983,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
AETNA HEALTH INSURANCE,aetna.com,10910,Aetna,CVS Health,Carrier,name,Aetna,Carrier
"BLUE CROSS AND BLUE SHIELD OF ARIZONA, I",azblue.com,10454,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
CHS IDR DEPT.,clearhs.com,10353,,,,vendor-desk,ClearHealth Strategies,Repricing vendor
BCBS OF FLORIDA,bcbsfl.com,10304,Florida Blue,GuideWell,Blues licensee,name,Blues plan,Blues licensee
BCBS,azblue.com,9873,BCBS Arizona,Independent,Blues licensee,domain,Blues plan,Blues licensee
BCBS OF TENNESSEE,bcbst.com,9679,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
ANTHEM HEALTHKEEPERS,anthem.com,9414,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUECROSS BLUESHIELD OF ARIZONA,azblue.com,8824,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS OF ARIZONA,azblue.com,8805,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS BLUE SHIELD,azblue.com,8560,BCBS Arizona,Independent,Blues licensee,domain,Blues plan,Blues licensee
GREATWESTHEALTHCARE-CIGNA,multiplan.com,8503,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BCBS OF TEXAS,bcbsil.com,8126,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
BCBS AZ,azblue.com,7473,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS,anthem.com,7421,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
CIGNA HEALTHCARE,zelis.com,7102,Cigna,Cigna,Carrier,name,Zelis,Repricing vendor
AMBETTER FROM PEACH STATE,centene.com,7077,Centene,Centene,Carrier,name,Centene,Carrier
HEALTH FIRST,hfbenefits.com,6983,Health First,Health First,Provider-sponsored,name,Other / direct,Unclassified
BCBS ARIZONA,azblue.com,6844,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
COMMUNITY INSURANCE COMPANY DBA BCBS,anthem.com,6682,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
PROMINENCE HEALTHFIRST,uhsinc.com,6585,Health First,Health First,Provider-sponsored,name,Other / direct,Unclassified
EMBLEM HEALTH,emblemhealth.com,6424,EmblemHealth,Emblem,Carrier,name,Other / direct,Unclassified
BLUE CROSS ANTHEM OF CA,anthem.com,6228,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
UMR FKA UMR WAUSAU,clearhs.com,6160,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
COMMUNITY INSURANCE COMPANY,anthem.com,6156,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
BCBS OF PA,ibx.com,6079,Independence Blue Cross,Independence,Blues licensee,domain,Blues plan,Blues licensee
CIGNA GREAT WEST,cigna.com,6028,Cigna,Cigna,Carrier,name,Cigna,Carrier
BLUE SHIELD PPO,blueshieldca.com,5896,Blue Shield of California,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE SHIELD OF CA,blueshieldca.com,5886,Blue Shield of California,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS AND BLUE SHIELD,bcbstx.com,5866,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
MAGNOLIA AMBETTER,centene.com,5825,Centene,Centene,Carrier,name,Centene,Carrier
BCBS TN,bcbst.com,5783,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
ANTHEM OF GEORGIA,anthem.com,5704,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
PRESBYTERIAN,clearhealthcloud.com,5633,Presbyterian Health Plan,Presbyterian,Provider-sponsored,name,ClearHealth Strategies,Repricing vendor
BLUE CROSS BLUE SHIELD OF OKLAHOMA,bcbsok.com,5609,BCBS Oklahoma,HCSC,Blues licensee,name,Blues plan,Blues licensee
AMBETTER MAGNOLIA,centene.com,5491,Centene,Centene,Carrier,name,Centene,Carrier
BCBS NM,bcbsnm.com,5488,BCBS New Mexico,HCSC,Blues licensee,name,Blues plan,Blues licensee
CIGNA OPEN ACCESS,cigna.com,5486,Cigna,Cigna,Carrier,name,Cigna,Carrier
BLUE CROSS BLUE SHIELD,anthem.com,5459,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
AETNA HEALTH PLAN,aetna.com,5437,Aetna,CVS Health,Carrier,name,Aetna,Carrier
ANTHEM INSURANCE COMPANIES DBA ANTHEM BLUE CROSS CA,anthem.com,5409,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
ANTHEM MISSOURI,anthem.com,5403,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
HUMANA,humana.com,5189,Humana,Humana,Carrier,name,Humana,Carrier
ANTHEM BLUE CROSS,anthem.com,5131,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BCBS OF MICHIGAN,bcbsm.com,5093,BCBS Michigan,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS KANSAS,bcbsks.com,5031,BCBS Kansas,Independent,Blues licensee,name,Blues plan,Blues licensee
CIGNA HEALTH PLAN,cigna.com,4903,Cigna,Cigna,Carrier,name,Cigna,Carrier
AMBETTER OF OKLAHOMA,centene.com,4880,Centene,Centene,Carrier,name,Centene,Carrier
MERITAIN,clearhs.com,4759,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
BLUECROSS BLUESHIELD,bcbsil.com,4731,BCBS — HCSC (state not identified),HCSC,Blues licensee,domain,Blues plan,Blues licensee
CHS IDR DEPT.,clearhealthcloud.com,4729,,,,vendor-desk,ClearHealth Strategies,Repricing vendor
AMBETTER FROM SUPERIOR HEALTHPLAN CELTIC,centene.com,4649,Centene,Centene,Carrier,name,Centene,Carrier
UNITED HEALTHCARE,clearhs.com,4634,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
AETNA LIFE INSURANCE,aetna.com,4624,Aetna,CVS Health,Carrier,name,Aetna,Carrier
CIGNA LOCAL PLUS,cigna.com,4619,Cigna,Cigna,Carrier,name,Cigna,Carrier
CIGNA HEALTH PLAN,multiplan.com,4439,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
GREATWESTHEALTHCARE-CIGNA,cigna.com,4439,Cigna,Cigna,Carrier,name,Cigna,Carrier
CIGNA PPO,cigna.com,4374,Cigna,Cigna,Carrier,name,Cigna,Carrier
UNITED MEDICAL RESOURCES,clearhs.com,4369,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
HEALTHLY ALLIANCE LIFE INS CO DBA ANTHEM BCBS,anthem.com,4366,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
UNITED HEALTHCARE OF ALL STATES,uhc.com,4364,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
KAISER HMO,multiplan.com,4288,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
BCBS KANSAS INSTITUTIONAL,bcbsks.com,4246,BCBS Kansas,Independent,Blues licensee,name,Blues plan,Blues licensee
AMBETTER OF ARKANSAS,centene.com,4157,Centene,Centene,Carrier,name,Centene,Carrier
ANTHEM INS CO DBA ANTHEM BCBS,anthem.com,4120,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
ANTHEM BCBS,anthem.com,4115,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
CAPITAL HEALTH PLAN,chp.org,4100,Capital Health Plan,Independent,Provider-sponsored,name,Other / direct,Unclassified
BLUE CROSS OF IDAHO,bcidaho.com,4074,Blue Cross of Idaho,Independent,Blues licensee,name,Blues plan,Blues licensee
HMO PARTNERS DBA HEALTH ADVANTAGE,mgb.org,3910,Arkansas BCBS,Independent,Blues licensee,name-override,Other / direct,Unclassified
CAREFIRST,carefirst.com,3903,CareFirst,Independent,Blues licensee,name,Blues plan,Blues licensee
HORIZON BLUE CROSS BLUE SHIELD,multiplan.com,3818,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BLUECROSS BLUESHIELD KANSAS,bcbsks.com,3701,BCBS Kansas,Independent,Blues licensee,name,Blues plan,Blues licensee
UNITEDHEALTHCARE,clearhs.com,3680,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
EMPIRE BLUE CROSS BLUE SHIELD,anthem.com,3547,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BCBS FEDERAL EMPLOYEE PROGRAM,anthem.com,3544,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
BCBS EMPIRE,anthem.com,3542,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
UMR FKA UMR WAUSAU,clearhealthcloud.com,3473,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
BCBS HORIZON,multiplan.com,3465,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BCBS OF ILLINOIS,bcbsil.com,3414,BCBS Illinois,HCSC,Blues licensee,name,Blues plan,Blues licensee
SIERRA HEALTH AND LIFE HEALTH PLAN OF NEVADA,uhc.com,3370,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
UNITED HEALTHCARE CHOICE PLUS,uhc.com,3318,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
HORIZON,horizonblue.com,3280,Horizon BCBS NJ,Independent,Blues licensee,name,Blues plan,Blues licensee
CIGNA OON,cigna.com,3266,Cigna,Cigna,Carrier,name,Cigna,Carrier
OSCAR HEALTH,hioscar.com,3205,Oscar Health,Oscar,Carrier,name,Oscar Health,Carrier
CIGNA HEALTH CARE,multiplan.com,3188,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
"ANTHEM HP, LLC",anthem.com,3102,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
UNITED EMPIRE PLAN,uhc.com,3100,Anthem / Elevance,Elevance,Carrier,name,UnitedHealthcare,Carrier
INDEPENDENCE BC,ibx.com,3073,Independence Blue Cross,Independence,Blues licensee,name,Blues plan,Blues licensee
BLUE SHIELD PPO,anthem.com,3025,Blue Shield of California,Independent,Blues licensee,name,Anthem / Elevance,Carrier
HARVARD PILGRIM,point32health.org,3015,Point32Health,Point32,Carrier,name,Other / direct,Unclassified
BLUE CROSS BLUE SHIELD TN,bcbst.com,2988,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS AZ REDACTED,azblue.com,2979,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
ANTHEM BLUE CROSS AND BLUE SHIELD MISSOU,anthem.com,2973,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BCBSGA,anthem.com,2971,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
BLUE SHIELD OF CALIFORNIA,blueshieldca.com,2969,Blue Shield of California,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS OF OKLAHOMA,bcbsil.com,2964,BCBS Oklahoma,HCSC,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS BLUE SHEILD,bcbstx.com,2940,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
BLUE CROSS BLUE SHEILD NORTH CAROLINA,bcbsnc.com,2931,BCBS North Carolina,Independent,Blues licensee,name,Blues plan,Blues licensee
UNITED HEALTHCARE,clearhealthcloud.com,2920,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
UNITEDHEALTHCARE OF ARIZONA INC,uhc.com,2853,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
CIGNA HEALTH AND LIFE INSURANCE COMPANY,zelis.com,2793,Cigna,Cigna,Carrier,name,Zelis,Repricing vendor
GEHA,geha.com,2779,GEHA,GEHA,Carrier,name,Other / direct,Unclassified
"UMR, INC.",clearhealthcloud.com,2774,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
REGENCE BLUECROSS BLUESHIELD OF OREGON,regence.com,2764,Regence,Cambia,Blues licensee,name,Blues plan,Blues licensee
MOLINA HEALTHCARE,molinahealthcare.com,2707,Molina Healthcare,Molina,Carrier,name,Molina Healthcare,Carrier
"AETNA HEALTH, INC.",aetna.com,2661,Aetna,CVS Health,Carrier,name,Aetna,Carrier
BCBS HIGHMARK,highmark.com,2659,Highmark,Highmark,Blues licensee,name,Blues plan,Blues licensee
UHC EMPIRE PLAN,uhc.com,2633,Anthem / Elevance,Elevance,Carrier,name,UnitedHealthcare,Carrier
METROPOLITAN GOVERNMENT OF NASHVILLE,cigna.com,2594,Cigna,Cigna,Carrier,domain,Cigna,Carrier
WEB TPA,multiplan.com,2548,WebTPA,WebTPA,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
REDACTEDSEIU NATIONAL BENEFIT FUND,1199funds.org,2530,Union / Taft-Hartley fund,Union,Union / Taft-Hartley,name,Other / direct,Unclassified
UNITED HEALTHCARE INSURANCE,uhc.com,2517,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BLUE CROSS BLUE SHIELD OF GEORGIA,anthem.com,2503,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
ANTHEM BCBS OF WISCONSIN,anthem.com,2498,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUE CROSS BLUE SHIELD OF KANSAS CITY,bluekc.com,2488,BCBS Kansas City,Independent,Blues licensee,name,Blues plan,Blues licensee
UNITEDHEALTHCARE,clearhealthcloud.com,2484,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
GEHA,clearhs.com,2482,GEHA,GEHA,Carrier,name,ClearHealth Strategies,Repricing vendor
BLUECROSS BLUESHIELD OF ARIZONA INC,azblue.com,2459,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE SHIELD OF ARIZONA,azblue.com,2449,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
UNITED HEALTHCARE EMPIRE PLAN,uhc.com,2445,Anthem / Elevance,Elevance,Carrier,name,UnitedHealthcare,Carrier
BCBS INDIANA,anthem.com,2429,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
HMO PARTNERS DBA HEALTH ADVANTAGE,multiplan.com,2398,Arkansas BCBS,Independent,Blues licensee,name-override,MultiPlan / Claritev,Repricing vendor
BCBS OF NEVADA,anthem.com,2379,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
"ALLEGIANCE BENEFIT PLAN MANAGEMENT, INC.",multiplan.com,2359,Cigna,Cigna,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE SHIELD OF TN,bcbst.com,2349,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
CIGNA MULTIPLAN,multiplan.com,2346,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BCBS,bcbsil.com,2330,BCBS — HCSC (state not identified),HCSC,Blues licensee,domain,Blues plan,Blues licensee
BCBS IL,bcbsil.com,2319,BCBS Illinois,HCSC,Blues licensee,name,Blues plan,Blues licensee
GREAT WEST HEALTHCARE,cigna.com,2318,Cigna,Cigna,Carrier,name,Cigna,Carrier
CAREFIRST BLUECROSS BLUESHIELD,carefirst.com,2315,CareFirst,Independent,Blues licensee,name,Blues plan,Blues licensee
HORIZON BCBSNJ,multiplan.com,2304,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
HORIZON BCBS,horizonblue.com,2283,Horizon BCBS NJ,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBSOK,bcbsok.com,2280,BCBS Oklahoma,HCSC,Blues licensee,name,Blues plan,Blues licensee
PRESBYTERIAN,clearhs.com,2224,Presbyterian Health Plan,Presbyterian,Provider-sponsored,name,ClearHealth Strategies,Repricing vendor
PRIORITY HEALTH,priorityhealth.com,2221,Priority Health,Corewell,Carrier,name,Other / direct,Unclassified
GOVERNMENT EMPLOYEES HEALTH ASSOCIATION,clearhs.com,2208,GEHA,GEHA,Carrier,name,ClearHealth Strategies,Repricing vendor
BCBS TX PPO,bcbstx.com,2200,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
HMO OF LOUISIANA - OGB MAGNOLIA LOCAL PL,lablue.com,2163,BCBS Louisiana,Elevance,Blues licensee,domain,Blues plan,Blues licensee
SANA BENEFITS,sanabenefits.com,2125,Sana Benefits,Sana,Carrier,name,Other / direct,Unclassified
COMMUNITY CARE,ccok.com,2118,CommunityCare OK,Independent,Carrier,name,Other / direct,Unclassified
ANTHEM HEALTHCHOICE ASSURANCE,anthem.com,2101,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
FRIDAY HEALTH PLANS,fridayhealthplans.com,1963,Friday Health Plans,Friday,Carrier,name,Other / direct,Unclassified
UNITED HEALTHCARE,multiplan.com,1946,UnitedHealthcare,UnitedHealth Group,Carrier,name,MultiPlan / Claritev,Repricing vendor
UNITEDHEALTHCARE INSURANCE COMPANY,uhc.com,1906,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
CALIFORNIA PHYSICIANS SERVICE DBA BLUE S,blueshieldca.com,1905,Blue Shield of California,Independent,Blues licensee,domain,Blues plan,Blues licensee
ALLEGIANCE BENEFIT PLAN MANAGEMENT INC.,multiplan.com,1898,Cigna,Cigna,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
BLUE CARE NETWORK,bcbsm.com,1884,BCBS Michigan,Independent,Blues licensee,domain,Blues plan,Blues licensee
ALLIED BENEFIT SYSTEMS,alliedbenefit.com,1882,Aetna,CVS Health,Carrier,name,Other / direct,Unclassified
UMR-UNITED HEALTHCARE,clearhs.com,1865,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
GREAT WEST,cigna.com,1860,Cigna,Cigna,Carrier,name,Cigna,Carrier
ANTHEM BCBS OH,anthem.com,1853,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUE CROSS BLUE SHIELD OF TEXAS,bcbsil.com,1850,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
CARESOURCE MARKETPLACE,caresource.com,1848,CareSource,CareSource,Carrier,name,Other / direct,Unclassified
90 DEGREE BENEFITS,90degreebenefits.com,1831,90 Degree Benefits,90 Degree,TPA / ASO,name,Other / direct,Unclassified
WEBTPA,multiplan.com,1830,WebTPA,WebTPA,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
CIGNA HEALTH & LIFE INSURANCE COMPANY,cigna.com,1818,Cigna,Cigna,Carrier,name,Cigna,Carrier
CARESOURCE,caresource.com,1814,CareSource,CareSource,Carrier,name,Other / direct,Unclassified
ANTHEM GA,anthem.com,1812,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUE CROSS OF NEW JERSEY,horizonblue.com,1800,Horizon BCBS NJ,Independent,Blues licensee,name,Blues plan,Blues licensee
