plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
INDEPENDENCE BCBS ADMINISTRATORS,ibxtpa.com,2,Independence Blue Cross,Independence,Blues licensee,domain,Blues plan,Blues licensee
HARLANDALE ISD,90degreebenefits.com,2,,,,,Other / direct,Unclassified
HORIZON BCBS HEALTHCARE,multiplan.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
ANTHE BCBS,bcbs.com,2,,,,,Blues plan,Blues licensee
SUMITOMO MITSUI BANKING CORPORATION,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"OZ ARCHITECTURE, INC.",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
MUSTANG EXTREME ENVIRONMENTAL SERVICES,multiplan.co,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
FIDELITY INVESTMENTS,clearhs.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
"ZIPRECRUITER, INC.",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"MEDICAL TECHNOLOGY ASSOCIATES, LLC",zelis.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
500 STARTUPS MANAGEMENT COMPANY LLC,alliedbenefit.com,2,,,,,Other / direct,Unclassified
SWISH DENTAL ADMIN LLC DBA SWISH DENTAL,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
GLOBAL CARE INC,zelis.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
"GR ENERGY SERVICES MANAGEMENT, LP",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
VA OPTUM,optumserve.com,2,UnitedHealthcare,UnitedHealth Group,Carrier,name,Other / direct,Unclassified
CIGNA .,multiplan.com,2,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
AUTOMATED BENEFITS SERVICES,ascension.org,2,,,,,Other / direct,Unclassified
TEX-TRUDE,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
OLIVA TORRAS USA INC,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"AGGREGATE TECHNOLOGIES, INC.",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HORIZON BCBS - ANTHEM BCBS,claritev.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
"SAMSUNG ELECTRONICS AMERICA, INC",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
KYRIBA CORPORATION,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
